k1,b,label,digest8,ndcg@1,ndcg@5,ndcg@8,ndcg@10,p@1,p@5,p@8,p@10,r@1,r@5,r@8,r@10,mrr@10,runLines,zeroResultQueries,p95SearchMs
1.6,0,v4-p061,1f36d4ab,0.120081,0.161240,0.175769,0.182997,0.128472,0.062240,0.047146,0.041623,0.088929,0.199126,0.239065,0.261213,0.193200,23040,0,7.548958
1.6,0.1,v4-p062,b3e28351,0.153212,0.191144,0.206585,0.214548,0.162760,0.071875,0.054091,0.047483,0.111687,0.229755,0.272364,0.297107,0.229012,23040,0,7.872417
1.6,0.2,v4-p063,fa0ac3c7,0.161748,0.201994,0.219058,0.226365,0.170139,0.076389,0.057888,0.050347,0.116594,0.243315,0.289637,0.311790,0.240828,23040,0,7.938667
1.6,0.3,v4-p064,4b84cb51,0.168403,0.211535,0.229245,0.237111,0.177083,0.079861,0.060655,0.052648,0.121856,0.255642,0.303497,0.327824,0.251325,23040,0,8.133709
1.6,0.4,v4-p065,3eec5421,0.177228,0.219092,0.237765,0.245009,0.186198,0.082726,0.062663,0.054036,0.127104,0.263414,0.314675,0.336955,0.260256,23040,0,8.116625
1.6,0.5,v4-p066,951583fc,0.179253,0.223322,0.241806,0.249543,0.187934,0.084896,0.063802,0.055208,0.127722,0.269281,0.319978,0.344562,0.264195,23040,0,8.081000
1.6,0.6,v4-p067,d6d35ed6,0.185619,0.227778,0.245563,0.254944,0.194010,0.086632,0.064507,0.056554,0.131711,0.274825,0.323616,0.353701,0.269812,23040,0,7.910916
1.6,0.7,v4-p068,f70fbc94,0.182002,0.227917,0.248820,0.256000,0.190104,0.087413,0.066732,0.057292,0.126697,0.276223,0.334739,0.358151,0.269418,23040,0,7.860834
1.6,0.75,v4-p069,1a6ca619,0.182292,0.229204,0.249946,0.257743,0.190104,0.087413,0.066786,0.057856,0.128070,0.277512,0.335725,0.360201,0.270417,23040,0,8.142250
1.6,0.8,v4-p070,1de63eaa,0.180845,0.228328,0.249741,0.257382,0.188368,0.087500,0.067112,0.057899,0.126390,0.276136,0.337548,0.361885,0.269763,23040,0,8.197500
1.6,0.9,v4-p071,9eb6eb4e,0.179687,0.227870,0.247621,0.256230,0.187500,0.087240,0.066515,0.057899,0.125918,0.277108,0.332751,0.359993,0.268408,23040,0,8.120833
1.6,1,v4-p072,84eee2fa,0.174479,0.224450,0.244456,0.253369,0.182292,0.086111,0.066081,0.057856,0.122555,0.273977,0.330502,0.358748,0.264215,23040,0,8.187041
2,0,v4-p073,19e65a72,0.117622,0.159953,0.174735,0.182351,0.126302,0.061458,0.047038,0.041580,0.088071,0.198482,0.239244,0.262420,0.191463,23040,0,7.623417
2,0.1,v4-p074,e4bbb975,0.149161,0.188566,0.204600,0.212362,0.159288,0.071528,0.053982,0.047526,0.107936,0.228904,0.273817,0.296942,0.226288,23040,0,7.996834
2,0.2,v4-p075,ed161fbd,0.159722,0.201774,0.218344,0.226673,0.168403,0.076562,0.057834,0.050651,0.115270,0.243631,0.288846,0.313721,0.240563,23040,0,8.033958
2,0.3,v4-p076,1199def9,0.167679,0.212621,0.229812,0.237583,0.176649,0.080729,0.060872,0.052865,0.121350,0.257516,0.304159,0.328234,0.251704,23040,0,8.181916
2,0.4,v4-p077,ad73e47c,0.175637,0.219078,0.236931,0.245068,0.184896,0.082986,0.062771,0.054384,0.125450,0.265234,0.312978,0.338817,0.259804,23040,0,7.916167
2,0.5,v4-p078,6208ec7b,0.178675,0.223558,0.241742,0.250770,0.187934,0.085243,0.064128,0.055816,0.126382,0.270670,0.320911,0.350384,0.264994,23040,0,8.259292
2,0.6,v4-p079,0c75473c,0.181279,0.225099,0.246002,0.254431,0.189670,0.086024,0.065755,0.057075,0.126603,0.271124,0.329843,0.356931,0.268223,23040,0,8.074000
2,0.7,v4-p080,d5846a1e,0.178530,0.227560,0.249195,0.256723,0.186632,0.087326,0.067003,0.058030,0.124938,0.275692,0.337164,0.360374,0.269175,23040,0,7.938375
2,0.75,v4-p081,6d4eec0f,0.179109,0.228740,0.249663,0.256837,0.186632,0.087760,0.067057,0.057812,0.125528,0.277399,0.337283,0.359317,0.269383,23040,0,8.135042
2,0.8,v4-p082,b632da10,0.175203,0.227012,0.248071,0.255353,0.182726,0.087500,0.067057,0.058030,0.122462,0.277669,0.337695,0.359985,0.266685,23040,0,8.333584
2,0.9,v4-p083,66dba940,0.172743,0.223302,0.243970,0.253242,0.179688,0.085590,0.066352,0.058073,0.120529,0.272925,0.331125,0.360085,0.263469,23040,0,8.219375
2,1,v4-p084,cca31a5e,0.172309,0.221117,0.241824,0.249872,0.179253,0.085503,0.066189,0.057292,0.119966,0.271399,0.330704,0.355805,0.260095,23040,0,8.539625
2.5,0,v4-p085,832b8f28,0.112558,0.156266,0.171597,0.179715,0.121528,0.060069,0.046441,0.041363,0.084674,0.194770,0.236458,0.261495,0.188427,23040,0,7.646333
2.5,0.1,v4-p086,32b91a63,0.143663,0.185297,0.201860,0.209299,0.153212,0.070052,0.053548,0.047049,0.105306,0.225950,0.271289,0.293769,0.222087,23040,0,7.949875
2.5,0.2,v4-p087,a4295060,0.159433,0.200909,0.218717,0.225663,0.168403,0.075521,0.057726,0.050217,0.115859,0.242278,0.290970,0.311743,0.239823,23040,0,8.220542
2.5,0.3,v4-p088,9de0e8c5,0.166522,0.212740,0.230412,0.237343,0.175781,0.080208,0.060927,0.052995,0.121248,0.258433,0.305896,0.327072,0.251286,23040,0,8.324167
2.5,0.4,v4-p089,1c3acb62,0.174479,0.218984,0.236095,0.245889,0.183160,0.082899,0.062337,0.055035,0.123921,0.264811,0.311061,0.341923,0.259868,23040,0,8.109458
2.5,0.5,v4-p090,f322dce4,0.179398,0.222756,0.242826,0.251052,0.188368,0.084635,0.064833,0.056293,0.125780,0.268134,0.324169,0.349831,0.265788,23040,0,8.307958
2.5,0.6,v4-p091,781ab35f,0.177373,0.223669,0.245184,0.253785,0.185764,0.085069,0.065809,0.057378,0.124889,0.268642,0.328498,0.355569,0.266614,23040,0,8.317166
2.5,0.7,v4-p092,b3475625,0.178819,0.226744,0.248184,0.255932,0.185764,0.086892,0.066949,0.057943,0.125871,0.274234,0.335473,0.359205,0.267718,23040,0,8.058333
2.5,0.75,v4-p093,d44b1491,0.176649,0.225620,0.247762,0.255377,0.182726,0.086285,0.067274,0.057899,0.124540,0.273501,0.335642,0.359656,0.266005,23040,0,8.236459
2.5,0.8,v4-p094,79315689,0.176360,0.224149,0.245979,0.254134,0.182726,0.085590,0.066732,0.057899,0.123752,0.271827,0.333485,0.358533,0.265005,23040,0,8.197750
2.5,0.9,v4-p095,b45ad3e4,0.171875,0.222588,0.241880,0.251039,0.177951,0.085851,0.065972,0.057595,0.121282,0.273779,0.328402,0.356644,0.260210,23040,0,8.142791
2.5,1,v4-p096,be03cf76,0.170284,0.217868,0.239194,0.247233,0.176649,0.083854,0.065158,0.056771,0.119732,0.266672,0.326705,0.351603,0.256800,23040,0,8.222666
3,0,v4-p097,bf202b11,0.108507,0.153696,0.168802,0.177541,0.117188,0.059635,0.046278,0.041536,0.081368,0.193784,0.234997,0.262223,0.184844,23040,0,7.784750
3,0.1,v4-p098,11d77b0e,0.139468,0.182811,0.199311,0.207093,0.148438,0.069531,0.053331,0.046962,0.101904,0.223914,0.269567,0.293314,0.219203,23040,0,7.957667
